,Deadline,ET on A,ET on B,ET on C,Input Size,Output Size,Source,Destination
R1_VIT1,400,112.3,40.7,49.2,2000,2000,0,0
R1_VIT2,400,112.3,40.7,49.2,2000,2000,0,0
R1_LLM1,600,4688.8,489.8,590.0,2000,100,0,0
R1_LLM2,600,4688.8,489.8,590.0,2000,100,0,0
R2_VIT1,400,112.3,40.7,49.2,2000,2000,1,0
R2_VIT2,400,112.3,40.7,49.2,2000,2000,1,0
R2_LLM1,600,4688.8,489.8,590.0,2000,100,1,0
R2_LLM2,600,4688.8,489.8,590.0,2000,100,1,0
R3_VIT1,400,112.3,40.7,49.2,2000,2000,2,0
R3_VIT2,400,112.3,40.7,49.2,2000,2000,2,0
R3_LLM1,600,4688.8,489.8,590.0,2000,100,2,0
R3_LLM2,600,4688.8,489.8,590.0,2000,100,2,0
R4_VIT1,400,112.3,40.7,49.2,2000,2000,3,0
R4_VIT2,400,112.3,40.7,49.2,2000,2000,3,0
R4_LLM1,600,4688.8,489.8,590.0,2000,100,3,0
R4_LLM2,600,4688.8,489.8,590.0,2000,100,3,0
R5_VIT1,400,112.3,40.7,49.2,2000,2000,4,0
R5_VIT2,400,112.3,40.7,49.2,2000,2000,4,0
R5_LLM1,600,4688.8,489.8,590.0,2000,100,4,0
R5_LLM2,600,4688.8,489.8,590.0,2000,100,4,0
R6_VIT1,400,112.3,40.7,49.2,2000,2000,5,0
R6_VIT2,400,112.3,40.7,49.2,2000,2000,5,0
R6_LLM1,600,4688.8,489.8,590.0,2000,100,5,0
R6_LLM2,600,4688.8,489.8,590.0,2000,100,5,0
R7_VIT1,400,112.3,40.7,49.2,2000,2000,6,0
R7_VIT2,400,112.3,40.7,49.2,2000,2000,6,0
R7_LLM1,600,4688.8,489.8,590.0,2000,100,6,0
R7_LLM2,600,4688.8,489.8,590.0,2000,100,6,0
R8_VIT1,400,112.3,40.7,49.2,2000,2000,7,0
R8_VIT2,400,112.3,40.7,49.2,2000,2000,7,0
R8_LLM1,600,4688.8,489.8,590.0,2000,100,7,0
R8_LLM2,600,4688.8,489.8,590.0,2000,100,7,0
R9_VIT1,400,112.3,40.7,49.2,2000,2000,8,0
R9_VIT2,400,112.3,40.7,49.2,2000,2000,8,0
R9_LLM1,600,4688.8,489.8,590.0,2000,100,8,0
R9_LLM2,600,4688.8,489.8,590.0,2000,100,8,0
R10_VIT1,400,112.3,40.7,49.2,2000,2000,9,0
R10_VIT2,400,112.3,40.7,49.2,2000,2000,9,0
R10_LLM1,600,4688.8,489.8,590.0,2000,100,9,0
R10_LLM2,600,4688.8,489.8,590.0,2000,100,9,0
R11_VIT1,400,112.3,40.7,49.2,2000,2000,10,0
R11_VIT2,400,112.3,40.7,49.2,2000,2000,10,0
R11_LLM1,600,4688.8,489.8,590.0,2000,100,10,0
R11_LLM2,600,4688.8,489.8,590.0,2000,100,10,0
R12_VIT1,400,112.3,40.7,49.2,2000,2000,11,0
R12_VIT2,400,112.3,40.7,49.2,2000,2000,11,0
R12_LLM1,600,4688.8,489.8,590.0,2000,100,11,0
R12_LLM2,600,4688.8,489.8,590.0,2000,100,11,0
R13_VIT1,400,112.3,40.7,49.2,2000,2000,12,0
R13_VIT2,400,112.3,40.7,49.2,2000,2000,12,0
R13_LLM1,600,4688.8,489.8,590.0,2000,100,12,0
R13_LLM2,600,4688.8,489.8,590.0,2000,100,12,0
R14_VIT1,400,112.3,40.7,49.2,2000,2000,13,0
R14_VIT2,400,112.3,40.7,49.2,2000,2000,13,0
R14_LLM1,600,4688.8,489.8,590.0,2000,100,13,0
R14_LLM2,600,4688.8,489.8,590.0,2000,100,13,0
R15_VIT1,400,112.3,40.7,49.2,2000,2000,14,0
R15_VIT2,400,112.3,40.7,49.2,2000,2000,14,0
R15_LLM1,600,4688.8,489.8,590.0,2000,100,14,0
R15_LLM2,600,4688.8,489.8,590.0,2000,100,14,0
R16_VIT1,400,112.3,40.7,49.2,2000,2000,15,0
R16_VIT2,400,112.3,40.7,49.2,2000,2000,15,0
R16_LLM1,600,4688.8,489.8,590.0,2000,100,15,0
R16_LLM2,600,4688.8,489.8,590.0,2000,100,15,0
